,id,mig_int,mig_plan,mig_prep,cari,is_cari_secure,mig_intensity
0,176212260,1,0,0,3,0,2
1,172971065,0,0,0,3,0,1
2,173214640,1,1,0,4,0,3
3,173214684,1,0,0,3,0,2
4,173215671,0,0,0,3,0,1
5,173215675,0,0,0,3,0,1
6,173410491,0,0,0,3,0,1
7,173410495,0,0,0,3,0,1
8,173410496,0,0,0,3,0,1
9,173410497,0,0,0,3,0,1
10,173422975,0,0,0,3,0,1
11,173565308,1,1,0,3,0,3
12,173565309,0,0,0,3,0,1
13,173565310,0,0,0,3,0,1
14,173565312,0,0,0,3,0,1
15,173565313,0,0,0,3,0,1
16,173566384,0,0,0,4,0,1
18,173737757,0,0,0,3,0,1
19,173737759,0,0,0,3,0,1
20,173737761,1,0,0,3,0,2
21,173737762,0,0,0,3,0,1
22,173737764,0,0,0,3,0,1
23,173767227,0,0,0,3,0,1
24,174611828,1,0,0,3,0,2
25,174040619,0,0,0,3,0,1
26,174046673,0,0,0,3,0,1
27,174046675,0,0,0,3,0,1
28,174046680,0,0,0,3,0,1
29,174046683,0,0,0,4,0,1
30,174046685,0,0,0,3,0,1
31,174312753,0,0,0,3,0,1
32,174312759,1,0,0,3,0,2
33,174312767,1,0,0,3,0,2
34,174348406,0,0,0,4,0,1
35,174349396,1,0,0,3,0,2
36,174372714,0,0,0,3,0,1
37,174611390,0,0,0,3,0,1
38,174611836,1,0,0,3,0,2
39,174681453,0,0,0,3,0,1
40,174903747,0,0,0,3,0,1
41,174903749,1,0,0,3,0,2
42,174903751,1,0,0,3,0,2
43,174903753,0,0,0,3,0,1
44,174917311,0,0,0,3,0,1
45,174917318,0,0,0,3,0,1
46,174917322,0,0,0,3,0,1
47,174921098,1,0,0,3,0,2
49,174925491,0,0,0,3,0,1
50,174932502,1,0,0,3,0,2
51,175108083,0,0,0,3,0,1
52,175108086,0,0,0,3,0,1
53,175108092,1,0,0,3,0,2
54,175108097,0,0,0,3,0,1
55,175127335,0,0,0,4,0,1
56,175135878,0,0,0,3,0,1
57,175135880,0,0,0,4,0,1
58,175135890,0,0,0,3,0,1
59,175147879,0,0,0,3,0,1
60,175147881,0,0,0,3,0,1
61,175147884,0,0,0,3,0,1
62,175147887,0,0,0,3,0,1
63,175350078,0,0,0,3,0,1
64,175350084,0,0,0,3,0,1
65,175350091,0,0,0,3,0,1
66,175350101,0,0,0,3,0,1
67,175434184,0,0,0,3,0,1
68,175434526,0,0,0,3,0,1
69,175434527,0,0,0,3,0,1
70,175434531,0,0,0,3,0,1
71,175434533,0,0,0,3,0,1
72,175641349,0,0,0,4,0,1
