,id,mig_int,mig_plan,mig_prep,cari,is_cari_secure,mig_intensity
150,172944299,0,0,0,2,1,1
152,172944310,0,0,0,2,1,1
153,172971062,1,0,0,2,1,2
159,173214652,0,0,0,2,1,1
160,173214659,1,1,1,2,1,4
161,173214662,0,0,0,2,1,1
162,173214687,0,0,0,2,1,1
163,173214691,0,0,0,2,1,1
165,173215477,1,0,0,2,1,2
166,173215673,1,0,0,2,1,2
167,173215794,0,0,0,2,1,1
172,173216316,1,0,0,2,1,2
173,173216320,0,0,0,2,1,1
174,173220262,0,0,0,2,1,1
175,173220264,0,0,0,2,1,1
186,173406262,0,0,0,2,1,1
187,173409271,1,0,0,2,1,2
188,173410000,0,0,0,2,1,1
189,173410475,0,0,0,2,1,1
192,173410488,0,0,0,2,1,1
194,173410524,0,0,0,2,1,1
200,173414071,0,0,0,2,1,1
212,173565301,1,1,0,2,1,3
213,173566377,0,0,0,2,1,1
218,173566385,0,0,0,2,1,1
220,173569159,0,0,0,2,1,1
224,173737778,0,0,0,2,1,1
232,174040606,0,0,0,2,1,1
233,174040617,0,0,0,2,1,1
235,174040634,0,0,0,2,1,1
237,174040875,1,0,0,2,1,2
244,174305186,1,0,0,2,1,2
246,174312750,1,0,0,2,1,2
249,174348408,0,0,0,2,1,1
250,174348416,0,0,0,2,1,1
252,174348438,0,0,0,2,1,1
253,174348544,0,0,0,2,1,1
254,174357768,0,0,0,2,1,1
255,174357770,0,0,0,2,1,1
257,174357778,1,1,1,2,1,4
261,174372698,0,0,0,2,1,1
263,174372720,1,0,0,2,1,2
271,174656959,1,0,0,2,1,2
272,174656961,0,0,0,2,1,1
273,174656967,0,0,0,2,1,1
274,174656968,1,0,0,2,1,2
275,174656969,0,0,0,2,1,1
278,174658309,1,0,0,2,1,2
280,174674867,0,0,0,2,1,1
283,174681475,0,0,0,2,1,1
285,174894536,0,0,0,2,1,1
289,174896997,1,0,0,2,1,2
291,174898944,1,0,0,2,1,2
293,174903971,1,0,0,2,1,2
295,174903975,0,0,0,2,1,1
297,174911701,1,0,0,2,1,2
300,174916501,0,0,0,2,1,1
303,174921020,0,0,0,2,1,1
305,174921099,0,0,0,2,1,1
306,174921100,0,0,0,2,1,1
307,174926613,0,0,0,2,1,1
309,174932847,0,0,0,2,1,1
310,174932855,0,0,0,2,1,1
314,175123563,0,0,0,2,1,1
326,175149252,0,0,0,2,1,1
331,175155253,0,0,0,2,1,1
332,175260769,0,0,0,2,1,1
333,175284284,0,0,0,2,1,1
337,175291502,0,0,0,2,1,1
340,175292037,1,1,1,2,1,4
348,175300968,1,0,0,2,1,2
349,175350105,0,0,0,2,1,1
350,176212303,0,0,0,2,1,1
351,176212300,0,0,0,2,1,1
352,176212297,0,0,0,2,1,1
353,175434176,0,0,0,2,1,1
354,175434182,0,0,0,2,1,1
355,175434183,0,0,0,2,1,1
359,175434530,0,0,0,2,1,1
362,175437977,0,0,0,2,1,1
365,175438691,0,0,0,2,1,1
368,175439921,0,0,0,2,1,1
370,176212252,0,0,0,2,1,1
373,175652486,0,0,0,2,1,1
375,175656195,0,0,0,2,1,1
376,175656199,0,0,0,2,1,1
378,175656284,0,0,0,2,1,1
381,175656313,0,0,0,2,1,1
383,175656322,0,0,0,2,1,1
400,175679211,0,0,0,2,1,1
401,175679217,1,1,1,2,1,4
402,175679226,0,0,0,2,1,1
404,175684780,0,0,0,2,1,1
408,175910522,1,0,0,2,1,2
410,175917039,1,0,0,2,1,2
414,175934276,0,0,0,2,1,1
